,gender,purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age
213,Male,28,Account Executive,Entertainment,High Net Worth,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875,66.0
214,Female,9,Information Systems Manager,Property,Mass Customer,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625,75.0
215,Male,11,Legal Assistant,Manufacturing,Mass Customer,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625,22.0
216,Female,50,Business Systems Development Analyst,,Mass Customer,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625,25.0
217,Female,8,Occupational Therapist,Health,Affluent Customer,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625,59.0
218,Male,78,Statistician I,Financial Services,Mass Customer,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125,42.0
219,Male,7,,IT,Affluent Customer,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125,28.0
220,Male,68,Payment Adjustment Coordinator,Retail,Mass Customer,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125,41.0
221,Male,66,Technical Writer,Health,Mass Customer,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125,43.0
222,Female,62,,,Mass Customer,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625,56.0
223,Male,66,Chief Design Engineer,Health,High Net Worth,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625,22.0
224,Male,91,,IT,Mass Customer,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625,45.0
225,Male,0,Technical Writer,Manufacturing,Mass Customer,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125,22.0
226,U,35,Legal Assistant,IT,Affluent Customer,Yes,11,6 Iowa Center,2519,NSW,Australia,9,226,1.1125,
227,Male,54,Cost Accountant,Financial Services,High Net Worth,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125,58.0
228,Female,46,Associate Professor,Financial Services,Mass Customer,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125,68.0
229,Female,48,VP Marketing,Health,Affluent Customer,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375,59.0
230,Male,52,Health Coach IV,Health,Mass Customer,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105,44.0
231,Male,50,Statistician I,Manufacturing,Mass Customer,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105,79.0
232,Male,94,Mechanical Systems Engineer,,Mass Customer,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1,57.0
233,Female,53,Teacher,Property,Mass Customer,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1,79.0
234,Female,25,Media Manager II,,Mass Customer,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1,25.0
235,Male,41,,Health,Affluent Customer,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1,82.0
236,Female,97,Mechanical Systems Engineer,Telecommunications,High Net Worth,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375,79.0
237,Female,30,Director of Sales,,Mass Customer,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375,83.0
238,Female,84,Design Engineer,Entertainment,Mass Customer,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375,81.0
239,Male,4,Professor,,Mass Customer,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09,61.0
240,Female,18,VP Quality Control,Manufacturing,High Net Worth,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875,48.0
241,Female,94,Nurse Practicioner,Manufacturing,Mass Customer,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875,63.0
242,Male,57,Associate Professor,Manufacturing,Affluent Customer,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875,53.0
243,Male,29,Junior Executive,Health,Mass Customer,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375,65.0
244,Female,2,Safety Technician II,,Mass Customer,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375,72.0
245,Female,8,Recruiter,Manufacturing,Affluent Customer,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375,55.0
246,Female,74,Business Systems Development Analyst,Financial Services,High Net Worth,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375,59.0
247,Male,49,Senior Cost Accountant,Financial Services,Affluent Customer,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125,51.0
248,Male,59,Product Engineer,Property,High Net Worth,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125,44.0
249,Male,57,Analog Circuit Design manager,Entertainment,High Net Worth,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075,48.0
250,Female,90,Cost Accountant,Financial Services,Mass Customer,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075,47.0
251,Male,85,Software Test Engineer IV,Health,Affluent Customer,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125,55.0
252,Female,13,Sales Representative,Retail,Mass Customer,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125,61.0
253,Female,91,Product Engineer,IT,Mass Customer,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125,42.0
254,Female,75,Structural Analysis Engineer,Financial Services,High Net Worth,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125,25.0
255,Female,17,Nuclear Power Engineer,Manufacturing,Mass Customer,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125,83.0
256,Female,49,Account Coordinator,Retail,Mass Customer,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125,63.0
257,Male,37,Quality Control Specialist,,Mass Customer,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125,60.0
258,Female,45,Product Engineer,,Mass Customer,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625,22.0
259,Female,41,Geological Engineer,Manufacturing,High Net Worth,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625,51.0
260,Female,9,Recruiting Manager,Retail,Mass Customer,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625,53.0
261,Female,21,Analog Circuit Design manager,Argiculture,High Net Worth,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625,31.0
262,Male,88,Software Engineer II,IT,Mass Customer,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625,30.0
263,Female,36,Cost Accountant,Financial Services,Mass Customer,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625,74.0
264,Male,57,Account Executive,Manufacturing,Affluent Customer,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625,26.0
265,Female,56,,,Mass Customer,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625,84.0
266,Female,81,Desktop Support Technician,Property,Mass Customer,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625,53.0
267,Female,82,Actuary,Financial Services,Mass Customer,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625,49.0
268,Male,70,Engineer IV,Manufacturing,Affluent Customer,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625,71.0
269,Female,89,Database Administrator II,Health,High Net Worth,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625,50.0
270,Male,84,Chemical Engineer,Manufacturing,High Net Worth,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06,26.0
271,Male,70,,Argiculture,Mass Customer,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06,61.0
272,Female,99,Accountant III,Manufacturing,Mass Customer,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06,46.0
273,Male,48,Executive Secretary,Manufacturing,Mass Customer,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875,66.0
274,Male,35,Structural Engineer,Manufacturing,Affluent Customer,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875,46.0
275,Female,90,Environmental Specialist,,Affluent Customer,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875,56.0
276,Female,70,Office Assistant II,Telecommunications,High Net Worth,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875,69.0
277,Male,50,Research Associate,Health,Affluent Customer,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05,60.0
278,Female,64,Database Administrator I,Financial Services,Mass Customer,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05,46.0
279,Female,81,General Manager,Financial Services,Affluent Customer,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05,57.0
280,Male,7,Graphic Designer,,Mass Customer,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05,54.0
281,Female,26,Design Engineer,Telecommunications,Mass Customer,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875,51.0
282,Female,37,Associate Professor,Manufacturing,Mass Customer,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875,44.0
283,Male,81,Quality Control Specialist,,Mass Customer,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875,63.0
284,Female,88,Pharmacist,Health,Mass Customer,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125,55.0
285,Male,3,Payment Adjustment Coordinator,Financial Services,High Net Worth,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125,65.0
286,Male,70,Senior Sales Associate,Argiculture,Affluent Customer,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04,75.0
287,Female,2,Technical Writer,,Affluent Customer,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04,64.0
288,Female,96,Account Representative IV,Retail,Affluent Customer,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375,46.0
289,Male,50,Account Coordinator,Manufacturing,High Net Worth,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375,32.0
290,Female,95,Research Assistant I,,High Net Worth,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375,41.0
291,Male,15,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375,50.0
292,Male,89,Chief Design Engineer,,Affluent Customer,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375,64.0
293,Female,88,Associate Professor,Health,Mass Customer,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375,59.0
294,Male,36,Financial Advisor,Financial Services,Mass Customer,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125,42.0
295,Female,68,Senior Financial Analyst,Financial Services,Mass Customer,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125,34.0
296,Male,73,,Property,High Net Worth,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625,52.0
297,Male,97,Account Executive,Financial Services,Mass Customer,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625,57.0
298,Female,91,,Argiculture,Mass Customer,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625,31.0
299,Female,59,Physical Therapy Assistant,Retail,Mass Customer,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625,75.0
300,Male,39,Systems Administrator I,Retail,Mass Customer,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625,34.0
301,Female,97,Cost Accountant,Financial Services,Mass Customer,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03,29.0
302,Male,79,Systems Administrator IV,Health,Affluent Customer,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03,41.0
303,Female,56,Account Executive,,Affluent Customer,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025,73.0
304,Female,42,Quality Engineer,Financial Services,High Net Worth,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025,67.0
305,Female,81,Recruiting Manager,Financial Services,Mass Customer,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025,48.0
306,Male,1,Marketing Manager,,Affluent Customer,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025,68.0
307,Female,63,,Financial Services,High Net Worth,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025,63.0
308,Female,45,Occupational Therapist,Health,Mass Customer,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025,41.0
309,Male,21,,Manufacturing,Mass Customer,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625,51.0
310,Female,39,,Property,High Net Worth,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625,31.0
311,Female,28,Design Engineer,Health,Mass Customer,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02,57.0
312,Male,61,Teacher,Manufacturing,High Net Worth,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02,33.0
313,Male,95,Senior Sales Associate,Manufacturing,Mass Customer,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02,54.0
314,Female,73,Operator,,High Net Worth,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02,30.0
315,Female,96,Office Assistant I,Manufacturing,High Net Worth,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02,44.0
316,Female,3,Pharmacist,Health,Mass Customer,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02,65.0
317,Female,20,,Property,Mass Customer,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02,37.0
318,Female,74,Human Resources Assistant II,Health,Affluent Customer,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02,67.0
319,Male,87,Analyst Programmer,Financial Services,Affluent Customer,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625,41.0
320,Male,78,Information Systems Manager,,High Net Worth,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625,46.0
321,Male,23,Engineer III,Financial Services,High Net Worth,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125,45.0
322,Female,0,Software Engineer I,Property,Mass Customer,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125,41.0
323,Male,35,Account Representative I,Manufacturing,High Net Worth,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01,30.0
324,U,69,Legal Assistant,IT,Mass Customer,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,324,1.01,
325,Female,14,Programmer III,Health,High Net Worth,No,7,0 Stoughton Park,3000,VIC,Australia,1,326,1.009375,67.0
326,Female,17,Senior Sales Associate,Financial Services,Mass Customer,Yes,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375,70.0
327,Male,84,VP Sales,,Mass Customer,No,12,7 Fordem Point,4161,QLD,Australia,5,326,1.009375,40.0
328,Male,32,Technical Writer,Manufacturing,High Net Worth,No,21,797 Westend Street,4207,QLD,Australia,6,329,1.0,44.0
329,Female,32,Senior Developer,Property,Mass Customer,No,11,5316 Farwell Hill,2800,NSW,Australia,4,329,1.0,50.0
330,Male,17,Accountant IV,,Affluent Customer,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,329,1.0,23.0
331,Male,46,Marketing Manager,,High Net Worth,Yes,15,50 American Street,2147,NSW,Australia,9,329,1.0,63.0
332,Male,64,Librarian,Entertainment,Mass Customer,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,329,1.0,25.0
333,Male,33,Media Manager I,Retail,Affluent Customer,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,334,0.9987499999999998,44.0
334,Female,62,Financial Advisor,Financial Services,Mass Customer,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,334,0.9987499999999998,77.0
335,Male,81,Civil Engineer,Manufacturing,Mass Customer,No,7,2941 Talisman Alley,2145,NSW,Australia,9,334,0.9987499999999998,79.0
336,Female,8,Environmental Tech,Financial Services,Mass Customer,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,334,0.9987499999999998,23.0
337,Male,53,Chief Design Engineer,,Affluent Customer,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,338,0.99609375,46.0
338,Male,18,,Manufacturing,Mass Customer,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,338,0.99609375,66.0
339,Female,80,Editor,,High Net Worth,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,338,0.99609375,47.0
340,Female,93,Human Resources Manager,Health,Affluent Customer,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,341,0.99,53.0
341,Female,38,Software Consultant,IT,Mass Customer,Yes,11,53 Memorial Street,3163,VIC,Australia,10,341,0.99,54.0
342,Male,84,Data Coordiator,IT,Affluent Customer,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,341,0.99,71.0
343,Female,22,VP Marketing,Manufacturing,Mass Customer,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,341,0.99,83.0
344,Male,17,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,345,0.988125,58.0
345,Female,71,,IT,Mass Customer,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,345,0.988125,70.0
346,Female,43,Associate Professor,Property,Mass Customer,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,345,0.988125,81.0
347,Male,22,Software Consultant,Financial Services,High Net Worth,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,345,0.988125,61.0
348,Female,11,Social Worker,Health,Mass Customer,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,349,0.9875,69.0
349,Male,67,Web Developer IV,Manufacturing,High Net Worth,No,12,48578 Farmco Park,3235,VIC,Australia,10,349,0.9875,41.0
350,Male,18,Assistant Manager,,Mass Customer,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,349,0.9875,66.0
351,Female,59,,Financial Services,Mass Customer,No,13,391 Old Shore Lane,2011,NSW,Australia,6,349,0.9875,58.0
352,Female,74,Environmental Specialist,Argiculture,Mass Customer,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,349,0.9875,78.0
353,Male,19,Pharmacist,Health,Affluent Customer,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,349,0.9875,69.0
354,Female,59,Technical Writer,,Affluent Customer,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,355,0.984375,20.0
355,Female,45,Registered Nurse,Health,Affluent Customer,No,10,67 Heath Circle,2290,NSW,Australia,8,356,0.9828125,42.0
356,Female,30,Human Resources Manager,Health,Mass Customer,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,356,0.9828125,78.0
357,Male,59,Electrical Engineer,Manufacturing,Affluent Customer,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,358,0.98,51.0
358,U,65,Assistant Media Planner,Entertainment,Affluent Customer,No,5,78 Clarendon Drive,4551,QLD,Australia,8,358,0.98,
359,Male,99,Media Manager IV,Retail,High Net Worth,No,10,335 Cambridge Hill,3122,VIC,Australia,7,358,0.98,32.0
360,U,71,Programmer II,IT,Mass Customer,Yes,11,5675 Burning Wood Trail,3030,VIC,Australia,7,361,0.9775,
361,Male,7,Senior Editor,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,Australia,10,361,0.9775,43.0
362,Female,67,Nurse Practicioner,Financial Services,Mass Customer,Yes,10,9 Walton Way,2641,NSW,Australia,2,361,0.9775,25.0
363,Male,13,Technical Writer,Financial Services,Mass Customer,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,361,0.9775,65.0
364,Female,62,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,15,42 Donald Hill,2323,NSW,Australia,4,361,0.9775,23.0
365,Male,60,,Health,Affluent Customer,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,366,0.9750000000000001,41.0
366,Female,84,Business Systems Development Analyst,Financial Services,Mass Customer,No,11,19561 Express Street,2777,NSW,Australia,8,366,0.9750000000000001,51.0
367,Male,18,Paralegal,Financial Services,High Net Worth,Yes,9,41 Kropf Road,3175,VIC,Australia,7,366,0.9750000000000001,63.0
368,Female,6,Recruiting Manager,,Mass Customer,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,366,0.9750000000000001,65.0
369,Male,50,Help Desk Technician,IT,High Net Worth,No,4,7872 South Junction,3197,VIC,Australia,4,370,0.97,28.0
370,Female,57,Help Desk Technician,,Mass Customer,No,11,81 Donald Parkway,4218,QLD,Australia,11,371,0.96875,44.0
371,Male,30,Food Chemist,Health,Mass Customer,Yes,6,105 Carpenter Court,2220,NSW,Australia,9,372,0.9668749999999999,59.0
372,Male,4,Librarian,Entertainment,Mass Customer,No,9,58231 Tomscot Plaza,2209,NSW,Australia,10,372,0.9668749999999999,48.0
373,Male,54,Web Designer I,Financial Services,Affluent Customer,No,11,3 Loeprich Point,3204,VIC,Australia,11,372,0.9668749999999999,47.0
374,U,66,Structural Analysis Engineer,IT,Mass Customer,No,15,5773 Acker Way,4207,QLD,Australia,6,375,0.96,
375,Male,7,Director of Sales,,High Net Worth,Yes,20,540 Katie Street,4128,QLD,Australia,8,375,0.96,62.0
376,Male,60,,IT,High Net Worth,No,10,9495 Jenna Way,4600,QLD,Australia,2,375,0.96,48.0
377,Female,81,Human Resources Assistant I,Financial Services,High Net Worth,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,378,0.9562499999999999,36.0
378,Female,34,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,14,9736 Mitchell Pass,3199,VIC,Australia,6,378,0.9562499999999999,48.0
379,Female,40,Data Coordiator,Financial Services,Mass Customer,Yes,16,9 Springview Terrace,4068,QLD,Australia,5,378,0.9562499999999999,80.0
380,Female,7,Junior Executive,Manufacturing,Mass Customer,No,12,1914 Oakridge Place,2456,NSW,Australia,6,378,0.9562499999999999,59.0
381,Female,4,VP Product Management,Financial Services,Affluent Customer,Yes,2,179 Anzinger Center,2230,NSW,Australia,12,382,0.95,26.0
382,Male,85,Data Coordiator,Health,Mass Customer,Yes,8,62 Melrose Court,2211,NSW,Australia,10,382,0.95,58.0
383,Female,65,Product Engineer,Entertainment,Affluent Customer,No,17,84650 Novick Point,2261,NSW,Australia,7,382,0.95,78.0
384,Male,82,Staff Scientist,Financial Services,Affluent Customer,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,382,0.95,27.0
385,Male,46,Help Desk Operator,Manufacturing,High Net Worth,Yes,9,376 Talmadge Street,4124,QLD,Australia,7,386,0.945625,68.0
386,Female,11,,Health,Mass Customer,No,13,5979 Green Ridge Way,2767,NSW,Australia,8,386,0.945625,61.0
387,Female,15,Account Executive,,Affluent Customer,Yes,8,2972 Holy Cross Crossing,3153,VIC,Australia,5,386,0.945625,49.0
388,Male,51,Structural Engineer,Telecommunications,Affluent Customer,No,5,89 Riverside Court,4740,QLD,Australia,3,386,0.945625,29.0
389,Female,75,Quality Control Specialist,,Mass Customer,No,22,540 Forest Run Plaza,2168,NSW,Australia,7,386,0.945625,74.0
390,Female,25,Chief Design Engineer,,High Net Worth,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,386,0.945625,43.0
391,Female,92,Senior Editor,Manufacturing,Affluent Customer,No,10,4669 Troy Place,2207,NSW,Australia,10,386,0.945625,83.0
392,Male,36,Data Coordiator,Retail,Mass Customer,Yes,6,02 Roth Drive,2022,NSW,Australia,11,386,0.945625,40.0
393,Male,10,Quality Engineer,Financial Services,Mass Customer,No,19,7 Northridge Court,3192,VIC,Australia,9,386,0.945625,72.0
394,Male,74,,Manufacturing,Mass Customer,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,395,0.94,32.0
395,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,9,97 Transport Plaza,2097,NSW,Australia,12,396,0.9375,61.0
396,Female,66,VP Sales,Health,Mass Customer,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,396,0.9375,20.0
397,Female,84,,Entertainment,High Net Worth,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,396,0.9375,61.0
398,Male,54,Environmental Specialist,Health,Mass Customer,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8,396,0.9375,80.0
399,Male,72,Financial Advisor,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,Australia,10,396,0.9375,43.0
400,Male,53,Software Consultant,IT,Mass Customer,No,12,43094 Kedzie Pass,2487,NSW,Australia,5,401,0.935,46.0
401,Female,91,Senior Financial Analyst,Financial Services,Mass Customer,Yes,13,678 Lyons Trail,3130,VIC,Australia,10,401,0.935,55.0
402,Male,56,Analyst Programmer,,Mass Customer,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,401,0.935,67.0
403,Male,80,Cost Accountant,Financial Services,Affluent Customer,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11,401,0.935,44.0
404,Female,67,Help Desk Operator,Manufacturing,High Net Worth,Yes,16,73 Riverside Trail,3777,VIC,Australia,7,405,0.93,45.0
405,Female,5,,Financial Services,Mass Customer,Yes,13,05 Everett Trail,2114,NSW,Australia,11,405,0.93,42.0
406,Male,21,Graphic Designer,Health,Mass Customer,No,19,082 Welch Lane,2089,NSW,Australia,11,405,0.93,84.0
407,Female,24,Programmer III,Health,High Net Worth,No,12,72 Mccormick Circle,3023,VIC,Australia,7,408,0.9296875,26.0
408,Female,75,Social Worker,Health,High Net Worth,No,10,15669 Arizona Trail,3194,VIC,Australia,10,409,0.925,39.0
409,Female,15,Speech Pathologist,,Affluent Customer,No,18,79 Armistice Parkway,2117,NSW,Australia,7,409,0.925,65.0
410,Female,81,,,Mass Customer,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,409,0.925,76.0
411,Male,84,Nuclear Power Engineer,Manufacturing,Mass Customer,No,14,2637 Monument Trail,3106,VIC,Australia,11,409,0.925,27.0
412,Male,65,Civil Engineer,Manufacturing,Mass Customer,No,17,37919 Old Gate Park,2163,NSW,Australia,8,409,0.925,68.0
413,Female,48,Health Coach IV,Health,High Net Worth,No,11,00 Judy Terrace,2035,NSW,Australia,12,414,0.924375,64.0
414,Male,37,,Manufacturing,Mass Customer,No,9,79 Armistice Junction,2765,NSW,Australia,9,415,0.9218749999999999,84.0
415,Male,57,Data Coordiator,Argiculture,Mass Customer,Yes,15,7 Clemons Circle,4350,QLD,Australia,2,415,0.9218749999999999,59.0
416,Male,57,Assistant Media Planner,Entertainment,Affluent Customer,No,17,6455 Mayfield Street,3350,VIC,Australia,3,415,0.9218749999999999,69.0
417,Female,46,Product Engineer,Financial Services,Mass Customer,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,418,0.918,33.0
418,Male,76,Engineer IV,Financial Services,Affluent Customer,Yes,1,45 Banding Hill,2009,NSW,Australia,10,419,0.91640625,24.0
419,Female,33,Information Systems Manager,Financial Services,Mass Customer,No,3,53 Moulton Avenue,2880,NSW,Australia,1,420,0.91375,31.0
420,Female,90,,Property,Mass Customer,No,12,7 Sauthoff Park,2073,NSW,Australia,11,420,0.91375,74.0
421,Male,97,Operator,Argiculture,Mass Customer,Yes,10,9082 Waywood Avenue,2250,NSW,Australia,8,420,0.91375,52.0
422,Male,3,Systems Administrator III,Property,Mass Customer,No,12,30049 Brown Road,2233,NSW,Australia,9,420,0.91375,31.0
423,Male,87,Sales Representative,Retail,Affluent Customer,No,15,7 Huxley Trail,3818,VIC,Australia,5,420,0.91375,29.0
424,Male,70,Software Engineer III,Manufacturing,Mass Customer,Yes,19,3 Service Center,2127,NSW,Australia,9,420,0.91375,77.0
